case,spectrum,bin_center_ell,planck_data_bin,model_bin,model_minus_planck,sigma,io_minus_planck_sigma
io_backbone_control,TT,122.0,1.41638739424849,1.572393796849388,0.15600640260089804,0.05565969259251621,2.802861376598297
io_backbone_control,TT,131.0,1.30521791894579,1.4898555327395702,0.1846376137937802,0.05088298572445134,3.6286709823526397
io_backbone_control,TT,140.0,1.34634505466437,1.4139417116873805,0.06759665702301043,0.04660843516722391,1.4503095154446615
io_backbone_control,TT,149.0,1.19517956472337,1.3426201642318554,0.14744059950848531,0.04289269671710765,3.437428998248995
io_backbone_control,TT,158.0,1.19518792128944,1.2737124741223265,0.0785245528328864,0.03956460770901848,1.984717083773518
io_backbone_control,TT,167.0,1.08499949823868,1.2056074360298878,0.12060793779120793,0.03647211387815055,3.3068535098937835
io_backbone_control,TT,176.0,1.03280174258208,1.137913577407168,0.10511183482508812,0.03358940797613865,3.1293148989037793
io_backbone_control,TT,185.0,0.981274745354414,1.0704072030486904,0.08913245769427647,0.03078557121280559,2.895267301624758
io_backbone_control,TT,194.0,0.920587358203888,1.0027551915421793,0.08216783333829125,0.02820632267476655,2.913099814028534
io_backbone_control,TT,203.0,0.826320995132446,0.9347784796157571,0.10845748448331116,0.02564307633738888,4.22950363116826
io_backbone_control,TT,212.0,0.784262818419218,0.8668200435643834,0.08255722514516539,0.02336962459236456,3.532672286577462
io_backbone_control,TT,221.0,0.744894616010666,0.7993905279921909,0.054495911981524925,0.02118446983689279,2.572446344001501
io_backbone_control,TT,230.0,0.672270848022461,0.732985167827249,0.06071431980478803,0.01901095033037695,3.193649909640482
io_backbone_control,TT,239.0,0.632717119728208,0.668079695821393,0.03536257609318505,0.01705396270112428,2.0735694520343815
io_backbone_control,TT,248.0,0.553051547661841,0.6051440290194404,0.052092481357599474,0.0152077921473064,3.425380939785272
io_backbone_control,TT,257.0,0.495407158150494,0.5446220864739623,0.04921492832346824,0.01353060803089333,3.637303527757202
io_backbone_control,TT,266.0,0.450328822776616,0.4869399923648832,0.03661116958826721,0.01190570432284804,3.0750948113172374
io_backbone_control,TT,275.0,0.421899463527858,0.4325117665343707,0.010612303006512669,0.01047110899465494,1.0134841507169683
io_backbone_control,TT,284.0,0.352909739486218,0.38164739872652903,0.02873765924031102,0.009145003781329474,3.1424436695129745
io_backbone_control,TT,293.0,0.318838248209238,0.3345659491513069,0.01572770094206888,0.007925220600027164,1.9845127013896586
io_backbone_control,TT,302.0,0.270242786154687,0.2914788479887626,0.021236061834075615,0.00687627693772529,3.088308110100728
io_backbone_control,TT,311.0,0.23635029101795,0.252539720508922,0.01618942949097199,0.00591861115835187,2.7353426433711165
io_backbone_control,TT,320.0,0.208702002038926,0.2177289085590036,0.009026906520077593,0.005075097538486928,1.778666607217335
io_backbone_control,TT,329.0,0.183682500229269,0.1869702860812451,0.003287785851976116,0.004350340451806916,0.7557536906359898
io_backbone_control,TT,338.0,0.155850366538376,0.16018581464481363,0.004335448106437628,0.003728817895890102,1.1626870036255064
io_backbone_control,TT,347.0,0.129988414109886,0.13724609443366562,0.007257680323779603,0.003189126218017352,2.2757582571603674
io_backbone_control,TT,356.0,0.1165902916504,0.11790212981775294,0.0013118381673529467,0.002748370035604844,0.47731497227746683
io_backbone_control,TT,365.0,0.102830335850164,0.10187492663395212,-0.000955409216211886,0.002375385231550232,-0.4022123247724175
io_backbone_control,TT,374.0,0.09133252836139501,0.08888528032659032,-0.002447248034804686,0.002079896211937934,-1.1766202663182281
io_backbone_control,TT,383.0,0.08081931018342078,0.07864711505594082,-0.002172195127479959,0.001844232591445522,-1.1778314392423668
io_backbone_control,TT,392.0,0.0729069427203536,0.0708390292305426,-0.002067913489811002,0.001659172838449643,-1.2463520628407179
io_backbone_control,TT,401.0,0.06760890529986471,0.06512057380597629,-0.0024883314938884266,0.001523951257152716,-1.6328156705861554
io_backbone_control,TT,410.0,0.06480633978119492,0.06115060713876074,-0.003655732642434177,0.001422382487260873,-2.570147393669151
io_backbone_control,TT,419.0,0.0618252226793021,0.05859084920421619,-0.003234373475085907,0.001356464329849145,-2.3844146903926386
io_backbone_control,TT,428.0,0.06056966974406689,0.057140193920248855,-0.003429475823818036,0.001308525900780607,-2.6208696532274725
