ell,Dl_TT_io_backbone_control,Dl_TE_io_backbone_control,Dl_EE_io_backbone_control,Dl_TT_io_conditional_structured,Dl_TE_io_conditional_structured,Dl_EE_io_conditional_structured,Dl_TT_lcdm_planck_reference,Dl_TE_lcdm_planck_reference,Dl_EE_lcdm_planck_reference
1035,1084.277162566008,-59.90049151701261,33.09075752740491,1064.586594959696,-62.96909618821254,35.29783986841221,1055.027657997867,-62.026765278363314,37.35205758757118
1036,1086.1798004983725,-60.49248727905495,32.8501014303724,1066.263076154001,-63.618524635452275,35.0581215676983,1056.494677881567,-62.8704280220115,37.13321366106576
1037,1088.1350880631317,-61.06209352319607,32.60760701857364,1067.9942188815285,-64.24600434353509,34.81605617100896,1058.037739728509,-63.69303844928555,36.91081367539974
1038,1090.1405397791693,-61.6090143653882,32.36337519417808,1069.7776339145923,-64.85121176005194,34.57174136232814,1059.6548168078464,-64.49451958950965,36.684952019375345
1039,1092.193649299658,-62.13295243471129,32.117507674345326,1071.6109118169256,-65.4338216223613,34.3252756326942,1061.3438642418619,-65.2747946490511,36.45572390546961
1040,1094.2920014303415,-62.63367281559053,31.870104387663677,1073.4917251267102,-65.99357190418887,34.076756770834415,1063.1028189602555,-66.03378701238918,36.223225371883345
1041,1096.433610011702,-63.111195864070574,31.62125561941989,1075.4181365786542,-66.53045966159614,33.82627730786757,1064.929599654436,-66.77142024318381,35.98755328459018
1042,1098.6165846806302,-63.56560709425272,31.371049759925835,1077.3882951121063,-67.04454793120193,33.573929012534144,1066.822106731809,-67.48761808534437,35.74880533938551
1043,1100.839019191815,-63.996993482903946,31.11957590174504,1079.400333991838,-67.53590103329255,33.31980439853924,1068.7782222700662,-68.18230446409848,35.50708006393559
1044,1103.0989913785804,-64.40544347361994,30.866923841384416,1081.4523707692979,-68.0045845755525,33.06399672635988,1070.795809971477,-68.85540348706084,35.262476819826496
1045,1105.394563113725,-64.79104698098793,30.613184080985768,1083.5425072438657,-68.45066545679494,32.8066000050522,1072.872715117175,-69.50683944530189,35.01509580461311
1046,1107.723780270356,-65.1538953947497,30.358447830017436,1085.6688294241048,-68.87421187069215,32.54770899405863,1075.0067645214506,-70.13653681441664,34.7650380538682
1047,1110.0846726827303,-65.49408158396449,30.10280700696598,1087.8294074890186,-69.27529330950634,32.287419205015176,1077.1957664860379,-70.74442025559345,34.51240544323137
